Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph
100,False,14,60,59,15,80,0.8786406230173021,1738.3724165136705,16
100,False,16,75,64,10,130,0.9329084201437057,1473.4511803647013,17
100,False,17,75,69,10,135,0.8609483916135103,1639.1524266804931,18
100,True,18,75,75,4,350,0.811391451152205,1225.3013949898902,19
100,False,18,75,75,5,280,0.9373991254586805,1137.4242719796862,20
100,False,25,75,100,4,400,0.7607112017063633,1906.8047340594712,21
150,False,50,75,100,10,200,0.7555670199652906,2036.1566123605264,22
100,True,30,75,120,7,200,0.44046235786950916,2622.1619919428185,23
100,False,149,75,150,12,200,0.8559898140912773,3173.714952826015,24
100,True,198,75,199,16,200,0.8825630311085512,4829.047425184601,25
100,True,198,75,199,16,200,0.7690057087351343,5070.0968081312,26
100,True,7,75,31,5,100,0.6756360030159316,999.2127139252283,27
100,True,8,75,32,5,100,0.815397700346937,876.1045537097913,28
100,True,8,75,32,6,100,0.703397652018058,1082.1185414356103,29
100,True,8,75,33,5,100,0.9630107701602857,1021.0382540030525,30
100,False,17,75,35,5,100,0.8532292898082693,1056.043301953816,31
100,False,9,75,36,5,100,0.8040489062494428,964.4424782693575,32
100,False,35,60,36,6,100,0.864434585664554,1333.720629556903,33
100,False,9,75,37,5,100,0.7181091440270448,1160.5103767059918,34
100,False,19,75,38,5,100,0.7481757179047636,1096.584406455984,35
100,True,9,60,38,6,100,0.7410979139542994,1106.6744265755292,36
100,True,10,75,43,6,100,0.6956092527694496,1397.4808329354642,37
100,False,11,75,44,6,100,0.7331526967406043,1610.5183727345864,38
100,False,11,60,44,7,100,0.7257635792109173,1548.9757541997606,39
100,True,14,60,59,21,60,0.5232840495620784,3871.475989049917,12
100,False,14,75,59,6,200,0.8691466282824347,1630.7537629858666,12
100,True,14,75,59,24,60,0.6031034256577469,4181.645181509808,13
100,True,14,75,59,10,100,0.7852527754506639,2010.750159157637,14
100,True,14,75,59,5,280,0.9335025999525974,1493.195219299965,15
100,False,14,60,59,27,35,0.5704432640055255,4027.229530200905,16
100,False,29,60,59,20,50,0.5304441131112664,4147.602395543521,17
100,False,14,75,59,20,50,0.6870155289870908,3243.274821757326,18
100,False,14,75,59,5,280,0.6863132240795501,1575.8671212559393,19
100,False,14,75,59,11,200,0.780045767926407,2158.4760532970686,20
100,True,29,75,59,8,150,0.7339298889668056,1731.5086486491705,21
100,True,16,60,64,25,45,0.6153565123988981,4158.965872539458,13
100,True,16,75,64,11,100,0.6855630731336396,2632.784108988697,14
100,True,32,75,64,4,350,0.8569474422819903,1459.740110857501,15
100,True,16,75,64,25,60,0.6135025984878617,4096.476819907188,16
100,True,32,60,64,28,55,0.5298478354795505,4387.105641879452,17
100,False,32,75,64,12,200,0.7707521870228788,2473.5574863106685,18
100,False,16,60,64,28,55,0.5319160555195865,5207.04500106677,19
100,True,16,60,64,23,60,0.5111417371539592,5218.979564458885,20
100,False,16,75,64,23,50,0.5544312881950355,4193.523128420659,21
100,False,16,60,64,27,35,0.5581186324543189,4288.983012479758,22
100,True,17,60,69,31,3000,0.6523169227258722,5503.978877709855,14
100,False,17,60,69,39,35,0.4998808006085478,4674.722783859548,15
100,True,17,60,69,34,40,0.6939421985705212,6823.730319019165,16
100,True,34,75,69,11,130,0.8193270628558814,2376.2950867749128,17
100,False,17,60,69,21,80,0.6505041188776159,3863.4738013673254,18
100,False,34,75,69,8,160,0.7682269138734736,2065.3232406654665,19
100,False,34,75,69,14,140,0.7020193824846995,2897.5730296332504,20
100,False,34,60,69,36,35,0.6472017449109116,4834.665701825483,21
100,True,17,75,69,13,100,0.9115513472044506,3087.9838717485745,22
100,False,17,60,69,34,40,0.4966689484069775,5028.901821252228,23
100,False,18,75,75,13,130,0.6999655442438831,2957.65948212972,15
100,True,18,75,75,12,200,0.7456853151171613,2914.0808405191738,16
100,False,18,60,75,36,40,0.6251747795026846,6337.799131113587,17
100,False,18,75,75,5,400,0.8576088227797716,1914.3795738824704,18
100,True,18,75,75,11,130,0.7358424404604068,2826.1306572840767,19
100,True,18,75,75,12,135,0.8560742624512553,2910.1344444732595,20
100,True,37,75,75,30,60,0.6118343187002252,5159.0999830450155,21
100,True,18,60,75,36,40,0.5112603259717198,5144.8712192516505,22
100,True,18,75,75,8,160,0.6669116308209396,2484.0598567132593,23
100,False,18,60,75,20,80,0.6934799742565513,4222.8175885841765,24
100,True,25,75,100,16,130,0.743713974596642,3736.038043941471,16
100,True,25,75,100,17,200,0.831959116390428,3838.512786652524,17
100,False,25,75,100,16,200,0.6901848673182672,3871.5356320146257,16
100,True,25,75,100,10,200,0.6719396688023347,3305.6598620728873,17
100,True,25,75,100,14,150,0.7621105227247792,3863.203030098641,18
100,False,25,75,100,16,135,0.8158103729286009,3959.776397359808,19
100,True,25,75,100,31,50,0.6729209433580122,5889.110520621199,20
100,False,25,75,100,35,60,0.5812809586468627,5556.179697998827,21
100,False,50,75,100,15,200,0.7406442498900171,3914.3873999556668,22
100,False,50,75,100,11,170,0.7286835900346001,3345.812125372284,23
100,True,25,75,100,8,400,0.8808262291928799,2756.431310440321,24
100,False,25,75,100,10,160,0.7714912796425886,3062.5649574714944,25
150,True,119,75,120,22,140,0.8951780365424656,5434.990199593756,17
100,True,30,60,120,48,55,0.5360877118506302,7729.825671839117,18
100,False,30,75,120,34,80,0.7741480837156341,6366.441793983021,19
100,True,60,75,120,19,130,0.7807760172245031,5045.576804228679,20
100,True,30,60,120,60,3000,0.6206383935058495,10844.789629165865,21
100,False,60,75,120,22,140,0.7299602607898987,5282.780365249046,22
100,False,30,75,120,19,200,0.7619296370320384,4758.036722535279,23
100,True,30,75,120,16,150,0.8482727755630786,3910.538291307943,24
100,True,30,75,120,12,200,0.8197316145904953,4263.278485096998,25
100,False,30,75,120,12,200,0.7633968455095069,4011.1231303269,26
100,False,37,75,150,24,100,0.8161853306936451,6073.346071634512,18
100,True,37,75,150,24,130,0.8304215434518071,5962.843203551102,19
100,True,75,75,150,16,160,0.8384162637378991,5111.427280849675,20
100,True,37,60,150,68,3000,0.5514746087387002,10586.521614095587,21
150,True,75,75,150,15,160,0.8144888586310697,5054.139320598772,22
100,False,37,60,150,70,40,0.6817001806644085,13478.298382983427,23
100,False,37,75,150,15,200,0.7627413458926317,5361.0856097284,24
100,True,37,75,150,10,350,0.7812942996109377,4541.719934483304,25
100,False,37,75,150,42,80,0.6779299335659527,10288.56986980473,26
100,True,37,75,150,25,130,0.7930987852673961,6217.80771580498,27
100,False,49,60,199,72,45,0.6549471788459367,14394.760881619914,19
100,True,49,75,199,15,400,0.8236056584200401,6451.181745678278,20
125,True,99,75,199,16,280,0.8252068561755285,6466.840038578995,21
100,True,49,60,199,90,3000,0.5655156946949313,13725.039774852808,22
100,True,49,75,199,73,60,0.70901189910655,13478.44244903048,23
100,True,49,75,199,37,140,0.7258693610658652,9050.888642396741,24
100,True,49,75,199,77,60,0.6614063475511285,12407.138035793638,25
100,True,49,75,199,16,280,0.8226246202389995,6515.115916917349,26
100,True,198,75,199,30,200,0.7604849429697761,7812.230644051845,27
100,False,49,60,199,84,55,0.6212407496608339,12747.321114192171,28
100,True,7,75,31,11,45,0.6241546370626967,1745.1354902253438,20
100,False,7,75,31,7,140,0.7224129907274088,1108.000639134921,21
100,True,7,60,31,11,50,0.6896805197323047,1869.417552291523,22
100,True,7,75,31,3,280,0.7308450186521588,741.1893126616957,23
100,True,15,75,31,5,100,0.7208010243982235,1191.3596496654138,24
125,False,7,75,31,4,160,0.6795049963318173,992.9524285967553,25
100,False,7,60,31,5,100,0.9259567343494302,1009.4825096580702,26
100,False,30,75,31,2,350,0.8007087113825418,600.7327949032718,27
100,True,7,60,31,16,35,0.5743242672835333,2494.0820226475234,28
100,True,7,75,31,2,400,1.046832656020978,546.3956462090833,29
100,False,8,60,32,6,135,0.6123025959300066,1195.019084525205,21
100,False,8,75,32,3,400,0.7282965120892078,576.3568612410755,22
100,True,8,75,32,9,80,0.59040517307463,1750.689408593942,23
100,True,8,60,32,15,3000,0.563325742522448,2893.0039728863603,24
100,True,8,75,32,3,160,0.763213352933373,813.1629794397252,25
100,True,8,75,32,4,150,0.9044849611619252,934.4402227310318,26
100,False,31,75,32,8,80,0.8180155070067681,1535.5046139603405,27
100,True,31,75,32,6,140,0.752512031124882,1235.2510334764206,28
100,False,8,75,32,3,200,0.7288066882126292,993.1099555183192,29
100,False,8,75,32,3,400,0.7597399646169958,860.2002031102686,30
100,False,8,60,33,13,55,0.6082389244634043,2339.8098539169287,22
100,False,16,60,33,5,130,0.7626173574086283,1067.0649116268405,23
100,False,32,75,33,5,200,0.730504923626319,1076.9146209217097,24
100,True,8,60,33,12,60,0.5670137499217186,1975.0496354734505,25
100,True,8,60,33,6,100,0.6678632098207468,1150.3544164796567,26
100,True,8,75,33,5,150,0.6505543887596467,1214.014265094262,27
100,True,8,60,33,15,55,0.5937220284328255,2305.8887195504703,28
100,False,32,75,33,3,400,0.7653507282680844,787.6721886625646,29
100,True,8,60,33,13,45,0.49089101555787673,1760.5519087945142,30
100,False,8,75,33,6,100,0.7284565110259337,1269.1889368127754,31
100,False,8,75,35,4,200,0.7282700551968874,842.5539714915067,23
100,True,8,75,35,6,135,0.7179308608725852,1269.2588919340012,24
100,True,8,75,35,3,350,0.9803762381794782,843.5505673753536,25
100,True,8,75,35,6,130,0.6215922722175155,1456.7217647714328,26
100,False,8,75,35,4,280,0.7740661090556553,886.2867893006912,27
100,True,34,60,35,14,3000,0.5467813763486048,2137.746405774284,28
100,False,8,60,35,17,40,0.5569235313536058,2746.874398693302,29
100,False,17,75,35,6,100,0.6014656158659646,1256.5401109869051,30
100,True,8,75,35,3,400,0.7611431716824875,773.0748473570176,31
100,True,8,75,35,3,400,0.7410607270958617,817.1872183595835,32
100,False,9,60,37,18,35,0.603197451874813,3045.388140936855,24
100,False,9,75,37,4,160,0.6766078992859079,1036.722566291307,25
100,False,18,75,37,16,40,0.5299966343096744,2521.1259344269347,26
100,True,9,60,37,11,80,0.6146066671620313,2231.267266712215,27
100,True,9,75,37,3,400,0.7089006774089225,809.1241181344869,28
100,False,9,60,37,19,35,0.5356883382818107,3177.1369552573187,29
100,True,9,75,37,3,350,0.8235329599373538,863.2132471952978,30
100,True,9,75,37,3,400,0.7662101366482655,750.6662116861905,31
100,True,9,75,37,6,100,0.7151578545295312,1092.6815866775455,32
100,True,9,75,37,4,160,1.0168889392360732,888.5488976403935,33
100,True,19,75,79,7,280,0.8084965427443145,2057.2606172050746,25
100,False,19,75,79,8,160,0.899190054590735,2468.361198042037,26
100,False,19,60,79,27,50,0.6819313857909002,5330.210675873579,27
100,False,39,75,79,13,100,0.8020491804513743,3102.5026193988615,28
100,False,39,75,79,6,400,0.8702571326308325,1869.8776555492018,29
125,False,39,75,79,14,130,0.7487047869665007,3378.761714768364,30
100,True,19,60,79,39,35,0.5163031749201332,5462.916541059189,31
100,True,39,75,79,13,100,0.8027437260306514,3048.8449419597764,32
100,True,19,75,79,8,160,0.8729994104873333,2057.3880842538065,33
125,False,78,75,79,13,200,0.7377992428853896,3094.370188986403,34
100,False,26,60,107,52,3000,0.6125088298657707,9717.389169026797,26
100,True,26,75,107,9,280,0.8173390794423833,2943.686593365262,27
100,False,53,75,107,9,280,0.8913801877868016,3185.255116531524,28
100,False,26,60,107,50,35,0.6087213720787676,6628.891491173195,29
100,False,26,75,107,9,280,0.7927246220042328,3078.5591932523407,30
100,True,26,60,107,47,3000,0.5454259505291215,7816.308717013285,31
100,False,26,75,107,17,130,0.7334702270335771,4018.640736863902,32
100,False,26,75,107,11,200,0.7554266990460264,3114.2258662337667,33
100,True,53,75,107,37,50,0.7013668681919732,7620.159404254118,34
100,False,26,60,107,43,45,0.6027396753897373,7011.892401825209,35
100,True,28,60,112,40,45,0.7133488530313475,6155.826461749119,27
100,True,28,75,112,20,140,0.7018650001989738,4789.272473070507,28
100,False,28,60,112,55,35,0.6448654309581751,6879.392694167385,29
100,False,28,75,112,20,100,0.7826928949924659,4337.259273364366,30
100,False,28,60,112,50,35,0.6374342122922919,10170.552940869255,31
100,False,28,75,112,11,200,0.7368815884419213,3166.2622413313734,32
100,False,28,60,112,38,50,0.7250739230487308,6379.386587369378,33
100,True,56,75,112,11,200,0.7684671899977645,3485.3358442136014,34
100,False,56,75,112,15,150,0.8286257233324914,3750.9246229949304,35
100,True,28,75,112,40,50,0.6558985365739854,7621.978493015272,36
100,True,33,60,134,64,35,0.5228340946793992,10791.335438883008,28
125,True,133,75,134,17,150,0.7701171406038573,4510.983682766691,29
100,False,33,75,134,21,200,0.6848639499896415,5352.366659631889,30
100,False,33,75,134,23,100,0.8327308685542638,5449.899152276335,31
100,False,33,75,134,20,200,0.7461594121904692,5058.351511526646,32
100,False,33,75,134,23,100,0.7565129940796866,5465.648038345612,33
100,True,33,75,134,18,150,0.7562014292779816,4558.730609665911,34
100,True,33,75,134,14,160,0.8081242731991461,4352.363797871514,35
100,False,33,75,134,15,170,0.8297080853714068,4721.038494550947,36
100,True,33,60,134,57,55,0.6147211992773977,8579.94997632713,37
100,True,41,75,167,30,100,0.7452663190371224,7010.524260619587,29
100,False,41,60,167,58,50,0.7067222283698897,12033.384072170562,30
100,False,41,75,167,56,50,0.559058758339558,10611.550984779777,31
100,True,41,75,167,30,100,0.7812245881098933,7808.54469640411,32
100,False,41,60,167,81,40,0.5708557151663602,12468.150427693578,33
100,False,41,75,167,28,100,0.8882108073216362,7810.466509258449,34
100,False,41,75,167,45,80,0.7025838404938148,9149.010146290379,35
100,False,41,75,167,62,60,0.6645050183244211,11798.245854618395,36
150,False,83,75,167,16,200,0.7767579703637498,5453.470747145707,37
100,False,41,75,167,23,150,0.868974518923013,6686.077482550937,38
100,True,4,60,16,2,280,0.9074908420506438,527.3570126319214,30
100,False,4,75,16,2,280,0.9727972053018014,480.06931967032625,31
100,False,15,75,16,2,400,0.7579061250339467,491.20365467921886,32
100,False,4,60,16,3,100,0.666616843230695,616.1820433767512,33
100,False,41,75,167,16,200,0.7665933318050124,5700.113837398048,29
125,True,41,75,167,11,350,0.7225892590593239,5063.877341590602,30
100,False,41,75,167,62,45,0.5159469104878504,11958.917202838484,31
100,True,41,75,167,28,130,0.8506146005880384,7363.4475143325935,32
100,True,41,75,167,14,280,0.84859150803779,5051.029044331309,33
100,True,41,60,167,64,45,0.581842071415197,9819.929054003638,34
100,False,41,75,167,27,135,0.6742283132207695,6700.799864203765,35
100,True,41,75,167,28,135,0.6868111261708362,6916.870379104903,36
100,False,83,75,167,18,170,0.7310691586292368,6467.139144201766,37
100,True,83,75,167,27,130,0.7295091024657864,6563.322328129761,38
100,True,4,75,16,2,350,0.9589187512511416,418.30205235055854,30
100,True,4,60,16,4,100,0.5008545093369077,531.166113463248,31
100,True,4,75,16,3,200,0.8043138034600146,635.1348831413627,32
100,False,4,60,16,2,130,0.7845279868599071,446.2320919651594,33
100,True,15,75,16,6,80,0.7990836222634409,857.406954915757,34
100,False,15,60,16,7,55,0.3172724350724443,948.1595312975437,35
100,True,4,75,16,6,45,0.5050105841939244,848.948280183231,36
100,False,4,60,16,2,160,1.115659790123727,529.6410027199781,38
100,False,8,75,16,3,130,0.6733602657136903,598.760550733367,39
100,False,4,60,18,7,45,0.4689954953135163,1287.7822088324945,31
100,True,4,75,18,3,100,0.9050190945701745,556.2752893790645,32
100,True,17,60,18,2,170,0.8721215131949418,576.8691551982756,33
100,False,9,60,18,2,280,1.0836760461031352,493.26856680827575,34
100,False,9,75,18,2,400,0.9098822944889592,552.2553702702764,35
100,True,17,75,18,7,50,0.6829274003494235,1022.7826354629706,36
100,True,9,60,18,7,60,0.4542722616909973,976.5159364103622,37
100,True,4,75,18,2,400,0.9778078298084931,477.82285493365225,38
100,False,9,60,18,2,400,0.9229837871965141,568.836410039027,39
100,False,4,75,18,3,135,0.6829422440101833,731.2626257992498,40
100,True,201,75,202,14,400,0.7899389952993803,6685.498081816881,32
100,True,201,75,202,33,135,0.6621925419466377,8972.676910338429,33
100,False,101,75,202,19,200,0.8021424847786053,7138.319752963061,34
100,True,50,75,202,57,80,0.6461902536416604,10245.429894053814,35
100,True,50,75,202,73,60,0.6515677037864106,13295.990408893525,36
100,True,50,75,202,35,135,0.812847694370511,8428.496654009614,37
100,False,101,75,202,54,80,0.7644679367753306,10598.651754781538,38
100,True,50,75,202,31,200,0.8307145947978153,8405.920784658636,39
100,True,50,75,202,89,35,0.5868158266730705,15976.444500197558,40
100,False,50,75,202,17,280,0.7906217573350892,6577.442137947705,41
100,True,57,75,231,24,170,0.8216174411046282,8437.049206155867,33
100,True,57,75,231,86,60,0.6361179434961278,14103.430486168298,34
100,False,57,75,231,23,160,0.8186796873023489,9359.596853809258,35
100,True,57,75,231,81,50,0.6524954599368216,15640.141094595188,36
100,False,57,75,231,36,130,0.8344607281881724,10384.226802576897,37
100,False,57,60,231,86,45,0.6385929041757594,14213.243209276055,38
100,True,57,60,231,85,45,0.6779628014718405,14301.567171197536,39
100,True,57,75,231,88,45,0.675761121079442,13435.389760088834,40
100,True,57,75,231,89,60,0.6271879770409039,15679.282016619227,41
125,False,57,75,231,15,350,0.7852462664711245,7779.977665603304,42
100,True,246,75,247,37,200,0.7926072816487594,10609.973702709634,34
100,True,246,75,247,17,350,0.8366958621801662,8957.70369014816,35
100,False,61,60,247,122,35,0.5487626098000881,17360.96251759119,36
100,True,61,75,247,113,3000,0.6028952495914968,19429.15010253623,37
100,True,61,75,247,106,3000,0.6373997854961658,15696.436159087756,38
100,True,61,75,247,40,130,0.8261950608322183,11497.177942490678,39
100,False,61,60,247,114,40,0.5919766045668092,23654.458638761367,40
100,True,61,75,247,45,140,0.6770189042935375,11281.022383008843,41
100,True,246,75,247,16,400,0.7727592238664625,9476.037431294815,42
100,False,123,75,247,33,150,0.7894179788722048,9505.373464883118,43
100,False,69,75,276,107,45,0.6321313975330523,17843.47974950675,35
125,True,69,75,276,18,350,0.8238432018143169,9661.25861503576,36
125,True,275,75,276,26,200,0.915611205631673,10935.730796401991,37
100,False,138,75,276,17,350,0.8337140274889825,10389.161890320107,38
125,True,69,75,276,37,150,0.848461004160532,11313.157557100818,39
100,True,275,75,276,29,160,0.7721604536047552,10789.448540314526,40
100,True,69,75,276,107,60,0.6053025625739573,19031.72549202455,41
100,False,138,75,276,19,400,0.8312072223384398,10189.360009779348,42
100,True,275,75,276,47,100,0.813688006493134,13394.313523409395,43
100,True,69,75,276,41,200,0.8145846599767924,11389.698762292483,44

